Profili IPE,G,h,b,tw,tf,r,A,hi,d,Ø,pmin,pmax,AL,AG,Iy,Wel.y,Wpl.y,iy,Avz,Iz,Wel.z,Wpl.z, iz,ss,It,Iwx10-3,,,,,,,,,,
,[kg/m], [mm],[mm], [mm], [mm], [mm],[cm2], [mm], [mm],, [mm], [mm],[m2/m], [m2/t],[cm4] ,[cm3],[cm3],[cm],[cm2],[cm4] ,[cm3],[cm3],[cm], [mm],[cm4] ,[cm6] ,,,,,,,,,,
,173,762,267,14.4,21.6,17,221.3,718.8,684.8,M27,104,166,2.534,14.58,205800,5402,6218,30.49,116.4,6873,514.9,809.9,5.57,77.52,273.6,9391,,,,,,,,,,
IPE 100,8.1,100,55,4.1,5.7,7,10.32,88.6,74.6,-,-,-,0.4,49.33,171,34.2,39.41,4.07,5.08,15.92,5.79,9.15,1.24,23.7,1.2,0.35,,,,,,,,,,
IPE A 120,8.7,117.6,64,3.8,5.1,7,11.03,107.4,93.4,-,-,-,0.472,54.47,257.4,43.77,49.87,4.83,5.41,22.39,7,10.98,1.42,22.2,1.04,0.71,,,,,,,,,,
IPE 120,10.4,120,64,4.4,6.3,7,13.21,107.4,93.4,-,-,-,0.475,45.82,317.8,52.96,60.73,4.9,6.31,27.67,8.65,13.58,1.45,25.2,1.74,0.89,,,,,,,,,,
IPE A 140,10.5,137.4,73,3.8,5.6,7,13.39,126.2,112.2,-,-,-,0.547,52.05,434.9,63.3,71.6,5.7,6.21,36.42,9.98,15.52,1.65,23.2,1.36,1.58,,,,,,,,,,
IPE 140,12.9,140,73,4.7,6.9,7,16.43,126.2,112.2,-,-,-,0.551,42.7,541.2,77.32,88.34,5.74,7.64,44.92,12.31,19.25,1.65,26.7,2.45,1.98,,,,,,,,,,
IPE A 160,12.7,157,82,4,5.9,9,16.18,145.2,127.2,-,-,-,0.619,48.7,689.3,87.81,99.09,6.53,7.8,54.43,13.27,20.7,1.83,26.34,1.96,3.09,,,,,,,,,,
IPE 160,15.8,160,82,5,7.4,9,20.09,145.2,127.2,-,-,-,0.623,39.47,869.3,108.7,123.9,6.58,9.66,68.31,16.66,26.1,1.84,30.34,3.6,3.96,,,,,,,,,,
IPE A 180,15.4,177,91,4.3,6.5,9,19.58,164,146,M10,48,48,0.694,45.15,1063,120.1,135.3,7.37,9.2,81.89,18,27.96,2.05,27.84,2.7,5.93,,,,,,,,,,
IPE 180,18.8,180,91,5.3,8,9,23.95,164,146,M10,48,48,0.698,37.13,1317,146.3,166.4,7.42,11.25,100.9,22.16,34.6,2.05,31.84,4.79,7.43,,,,,,,,,,
IPE O 180,21.3,182,92,6,9,9,27.1,164,146,M10,50,50,0.705,33.12,1505,165.4,189.1,7.45,12.7,117.3,25.5,39.91,2.08,34.54,6.76,8.74,,,,,,,,,,
IPE A 200,18.4,197,100,4.5,7,12,23.47,183,159,M10,54,58,0.764,41.49,1591,161.6,181.7,8.23,11.47,117.2,23.43,36.54,2.23,32.56,4.11,10.53,,,,,,,,,,
IPE 200,22.4,200,100,5.6,8.5,12,28.48,183,159,M10,54,58,0.768,34.36,1943,194.3,220.6,8.26,14,142.4,28.47,44.61,2.24,36.66,6.98,12.99,,,,,,,,,,
IPE O 200,25.1,202,102,6.2,9.5,12,31.96,183,159,M10,56,60,0.779,31.05,2211,218.9,249.4,8.32,15.45,168.9,33.11,51.89,2.3,39.26,9.45,15.57,,,,,,,,,,
